Emp_ID,First_Name,Second_Name,Last_Name,Department,Email,PhoneNumber,Emp_Role
1,Ashley,Paul,Smith,Technical Support,ashley.smith@Alahli.com,597494760,Manager
2,Jeffrey,Jessica,Phillips,Billing,jeffrey.phillips@Alahli.com,581123891,Agent
3,Kelly,Cameron,James,Technical Support,kelly.james@Alahli.com,528318594,Administrator
4,Jason,Christina,Castillo,Technical Support,jason.castillo@Alahli.com,531223494,Administrator
5,Francisco,Austin,Duran,Customer Support,francisco.duran@Alahli.com,557841659,Manager
6,Jenna,Autumn,Campbell,Customer Support,jenna.campbell@Alahli.com,562287165,Agent
7,Jennifer,Derek,Moreno,Customer Support,jennifer.moreno@Alahli.com,515402446,Agent
8,Brandon,Lori,Lowery,Customer Support,brandon.lowery@Alahli.com,512751361,Agent
9,Barbara,Eric,Lewis,Technical Support,barbara.lewis@Alahli.com,545956109,Agent
10,Christopher,Michael,Powell,Billing,christopher.powell@Alahli.com,556799089,Agent
11,Judy,David,Price,Technical Support,judy.price@Alahli.com,540678871,Manager
12,Amber,Janice,Miller,Customer Support,amber.miller@Alahli.com,577904540,Manager
13,William,Jordan,Sullivan,Customer Support,william.sullivan@Alahli.com,530111798,Administrator
14,Maria,Tamara,Phillips,Billing,maria.phillips@Alahli.com,540276770,Manager
15,Luis,David,Palmer,Customer Support,luis.palmer@Alahli.com,528919979,Administrator
16,Brad,Jared,Thompson,Billing,brad.thompson@Alahli.com,596090313,Manager
17,Tommy,Eric,Brown,Billing,tommy.brown@Alahli.com,551316823,Manager
18,Scott,Jennifer,Mcmahon,Customer Support,scott.mcmahon@Alahli.com,597194062,Administrator
19,Douglas,Kayla,Morrison,Billing,douglas.morrison@Alahli.com,516334400,Manager
20,Anna,Kylie,Dominguez,Customer Support,anna.dominguez@Alahli.com,559691349,Manager
21,Cody,Maria,Johnson,Technical Support,cody.johnson@Alahli.com,544468567,Administrator
22,Megan,Jesse,Smith,Customer Support,megan.smith@Alahli.com,555024710,Agent
23,Tracy,Thomas,Bell,Technical Support,tracy.bell@Alahli.com,562406568,Administrator
24,Micheal,Charles,Mcpherson,Billing,micheal.mcpherson@Alahli.com,547504035,Administrator
25,Tamara,Cassandra,Hernandez,Technical Support,tamara.hernandez@Alahli.com,559404382,Administrator
26,Kevin,Crystal,Wells,Technical Support,kevin.wells@Alahli.com,537717678,Agent
27,Brian,Brian,Davis,Billing,brian.davis@Alahli.com,557558043,Administrator
28,Lawrence,Gordon,Hunter,Customer Support,lawrence.hunter@Alahli.com,557131590,Administrator
29,Shawn,Lisa,Moore,Billing,shawn.moore@Alahli.com,521116983,Administrator
30,Anthony,Amber,Callahan,Technical Support,anthony.callahan@Alahli.com,525561860,Administrator
31,Julia,George,Fields,Technical Support,julia.fields@Alahli.com,575050892,Administrator
